scenario,rep,ref_aipw,syn_aipw,abs_ref_dist,fid_dist,true_extreme_share
std,0,2.0736,2.2842,0.2106,0.00833,0.0177
std,1,1.8293,1.8944,0.0651,0.00662,0.0182
std,2,1.9841,1.7866,0.1975,0.01226,0.0203
std,3,1.7151,1.6634,0.0516,0.00919,0.0187
std,4,2.0909,2.2366,0.1457,0.01797,0.0210
std,5,2.1256,1.8389,0.2867,0.00897,0.0195
std,6,2.3785,2.2652,0.1133,0.01018,0.0185
std,7,2.0846,1.7904,0.2942,0.01301,0.0190
std,8,2.0254,2.2395,0.2140,0.00835,0.0170
std,9,1.9915,1.8475,0.1441,0.01193,0.0165
std,10,2.1918,1.9013,0.2905,0.01129,0.0190
std,11,1.9555,2.0556,0.1001,0.01032,0.0195
std,12,2.0252,1.8539,0.1713,0.00938,0.0168
std,13,1.7665,1.9015,0.1350,0.01150,0.0170
std,14,1.9352,2.1464,0.2113,0.01211,0.0168
std,15,1.9899,1.7445,0.2455,0.01303,0.0205
std,16,1.5910,1.4943,0.0967,0.01121,0.0182
std,17,1.8860,1.8906,0.0045,0.00861,0.0170
std,18,2.2274,1.9092,0.3182,0.01458,0.0165
std,19,2.1909,2.0100,0.1809,0.00900,0.0198
std,20,1.8998,2.1265,0.2268,0.01410,0.0192
std,21,1.8274,1.9755,0.1481,0.00920,0.0187
std,22,1.9316,1.9403,0.0087,0.01407,0.0200
std,23,2.0349,1.9292,0.1057,0.01247,0.0160
std,24,1.8632,1.8940,0.0308,0.01156,0.0165
std,25,2.2903,2.5061,0.2158,0.01057,0.0195
std,26,1.7328,1.9647,0.2320,0.01161,0.0168
std,27,1.8708,1.5505,0.3204,0.01329,0.0163
std,28,2.1730,2.1219,0.0511,0.01288,0.0192
std,29,1.9705,1.9509,0.0196,0.01096,0.0227
std,30,1.8162,1.7222,0.0940,0.01127,0.0200
std,31,1.8177,2.0700,0.2524,0.00854,0.0185
std,32,2.1392,2.4203,0.2811,0.00971,0.0213
std,33,1.6048,1.3434,0.2613,0.01231,0.0192
std,34,2.3962,2.2096,0.1866,0.00850,0.0203
std,35,2.1986,2.1398,0.0588,0.00972,0.0160
