scenario,generator,estimator,replications,true_ate,mean_estimate,bias,mean_absolute_error,rmse,mean_reference_estimate_distortion,mean_absolute_reference_estimate_distortion,rmse_reference_estimate_distortion,reference_estimate_correlation,empirical_sd,mean_estimated_se,se_ratio,coverage_95,mean_ci_width,sign_preservation
standard,gaussian_copula,aipw,100,2.0,1.9604851258381768,-0.0395148741618231,0.21470078449705107,0.2614441024510457,-0.028338892552644726,0.19283438156395113,0.22986962644330344,0.51916720223594,0.2597426726324939,0.20727900057301768,0.7980167389218086,0.86,0.8125187517491438,1.0
standard,gaussian_copula,crude,100,2.0,4.923587841658067,2.9235878416580676,2.9235878416580676,2.9403286372394937,-1.3348840385543297,1.3348840385543297,1.357890141946961,0.6192908304052301,0.31489396496518546,0.23765338519474394,0.7547092406836656,0.0,0.9315841515714454,1.0
standard,gaussian_copula,gcomp,100,2.0,1.8884340109501425,-0.11156598904985734,0.22665651370739093,0.2790253248466833,-0.06460638553360035,0.17200532652264053,0.20650653434434496,0.6465382118915668,0.2570386167448489,,,,,1.0
standard,gaussian_copula,ipw,100,2.0,2.015452914846336,0.015452914846335446,0.20391605224728557,0.25449133459514595,-0.1937109085215252,0.23238011112475093,0.2860993487864699,0.5852586490102808,0.2553014593737254,0.26373264738243196,1.033024441103427,0.95,1.0338129808339367,1.0
standard,reference,aipw,100,2.0,1.9888240183908217,-0.011175981609178374,0.15422025799857153,0.1914915978811347,0.0,0.0,0.0,1.0,0.19212824392913821,0.20649116244427776,1.0747569343341157,0.96,0.8094304830331887,1.0
standard,reference,crude,100,2.0,6.258471880212398,4.258471880212396,4.258471880212396,4.2647804733904175,0.0,0.0,0.0,1.0,0.23305119663936097,0.23186835272033496,0.9949245318793346,0.0,0.9089072409729724,1.0
standard,reference,gcomp,100,2.0,1.953040396483743,-0.046959603516257005,0.1565334477674223,0.1913093873999892,0.0,0.0,0.0,1.0,0.18639069791068277,,,,,1.0
standard,reference,ipw,100,2.0,2.2091638233678608,0.20916382336786066,0.23912101833652932,0.28413169911857117,0.0,0.0,0.0,1.0,0.19327406990886287,0.2819817910202501,1.4589737317231266,0.97,1.1053483093915804,1.0
weak_overlap,gaussian_copula,aipw,100,2.0,2.1129561709109423,0.11295617091094239,0.24818158531032747,0.30650641047840577,0.03101250572499724,0.2530747816160505,0.31241440535393017,0.38014978404181865,0.28636891357851035,0.2375358984850138,0.8294751532794826,0.86,0.931123612131979,1.0
weak_overlap,gaussian_copula,crude,100,2.0,6.587145078564341,4.58714507856434,4.58714507856434,4.59603873835453,-1.7414769604809095,1.7414769604809095,1.7576160557657603,0.5772516947393603,0.28722305529567627,0.23276595064209238,0.8104013460983344,0.0,0.912425760171458,1.0
weak_overlap,gaussian_copula,gcomp,100,2.0,2.1910425544825634,0.19104255448256321,0.2833287685984884,0.3360341472932374,-0.37843147469478133,0.3913954664654756,0.4493534412423849,0.5441838192815343,0.27783741071315043,,,,,1.0
weak_overlap,gaussian_copula,ipw,100,2.0,2.262892996391558,0.26289299639155794,0.3431237468997495,0.40088119202985545,-0.21151553266972228,0.3364922747518779,0.4195507261228451,0.331034097028637,0.30416802004106747,0.31980411588461666,1.0514061137704025,0.88,1.2536090984830448,1.0
weak_overlap,reference,aipw,100,2.0,2.081943665185945,0.08194366518594515,0.2155933574544125,0.2852253172979848,0.0,0.0,0.0,1.0,0.2745772091810358,0.26807261259803755,0.976310500779001,0.93,1.0508253318674239,1.0
weak_overlap,reference,crude,100,2.0,8.328622039045252,6.328622039045249,6.328622039045249,6.3321004677945565,0.0,0.0,0.0,1.0,0.21091292941095666,0.22085920229395548,1.0471581941931063,0.0,0.8657521643007976,1.0
weak_overlap,reference,gcomp,100,2.0,2.5694740291773446,0.5694740291773446,0.5697333314444777,0.6106951846308679,0.0,0.0,0.0,1.0,0.22167393158259174,,,,,1.0
weak_overlap,reference,ipw,100,2.0,2.47440852906128,0.4744085290612802,0.4935486197516348,0.5740303427584297,0.0,0.0,0.0,1.0,0.3248113391208617,0.42524187879635705,1.309196532200267,0.81,1.6669175343180131,1.0
