scenario,generator,estimator,replications,true_ate,mean_estimate,bias,mean_absolute_error,rmse,empirical_sd,mean_estimated_se,se_ratio,coverage_95,mean_ci_width,sign_preservation
standard,gaussian_copula,aipw,3,2.0,2.414117301758161,0.41411730175816136,0.41411730175816136,0.4480426244471298,0.20946021235312826,0.3940703090352891,1.8813611645295543,1.0,1.5447272261714715,1.0
standard,gaussian_copula,crude,3,2.0,4.963997142632169,2.9639971426321687,2.9639971426321687,2.9792449429846153,0.36868964340161675,0.37937000460029924,1.0289684329078055,0.0,1.487103091662762,1.0
standard,gaussian_copula,gcomp,3,2.0,2.18672394123687,0.18672394123686997,0.18672394123686997,0.2324639331908428,0.1695891358704614,,,,,1.0
standard,gaussian_copula,ipw,3,2.0,2.316059937620681,0.31605993762068135,0.31605993762068135,0.35483966192000077,0.19754987282726155,0.41582038814741384,2.1048881591081,1.0,1.6299859696127943,1.0
standard,reference,aipw,3,2.0,2.392863571369436,0.39286357136943617,0.41735250041293875,0.5117771866844955,0.4016978399896162,0.3904704394900893,0.9720501347485037,0.6666666666666666,1.5306159968562032,1.0
standard,reference,crude,3,2.0,6.291797658090239,4.291797658090239,4.291797658090239,4.303956736393134,0.3959478199617498,0.37699763066195624,0.9521396801689065,0.0,1.477803556708735,1.0
standard,reference,gcomp,3,2.0,2.204114206734565,0.20411420673456515,0.20411420673456515,0.2695886592955214,0.21569226630738034,,,,,1.0
standard,reference,ipw,3,2.0,2.5339323088810466,0.5339323088810465,0.5339323088810465,0.5818716419763417,0.28326020882538067,0.4398864772457662,1.5529413011092559,0.6666666666666666,1.7243233053757994,1.0
weak_overlap,gaussian_copula,aipw,3,2.0,2.492259678683622,0.49225967868362225,0.49225967868362225,0.5539662274928431,0.3111888251808281,0.45798663027006503,1.4717322513234032,1.0,1.7952746014603782,1.0
weak_overlap,gaussian_copula,crude,3,2.0,6.750091240302488,4.750091240302488,4.750091240302488,4.757497571561447,0.32499927434064224,0.3846414801930214,1.1835148892974643,0.0,1.507766896276997,1.0
weak_overlap,gaussian_copula,gcomp,3,2.0,2.428645854978243,0.4286458549782431,0.4286458549782431,0.4425079834304133,0.13458851962345386,,,,,1.0
weak_overlap,gaussian_copula,ipw,3,2.0,2.655878496841152,0.6558784968411521,0.6558784968411521,0.7765143306034479,0.5091137932926858,0.5211897986731473,1.0237196586294788,0.6666666666666666,2.0430264690181006,1.0
weak_overlap,reference,aipw,3,2.0,2.24533437327733,0.24533437327733001,0.3394584633266764,0.4284568995333422,0.4302087168683549,0.5633718952345544,1.3095315672251893,1.0,2.2083772491235982,1.0
weak_overlap,reference,crude,3,2.0,8.50551410809472,6.50551410809472,6.50551410809472,6.512236889200509,0.36231648550229295,0.35854881457527327,0.9896011606488277,0.0,1.4054855265341313,1.0
weak_overlap,reference,gcomp,3,2.0,2.611941603594691,0.6119416035946911,0.6295634581515012,0.7624821118571262,0.5570993331876211,,,,,1.0
weak_overlap,reference,ipw,3,2.0,2.9850828533989735,0.9850828533989736,0.9850828533989736,1.1634405320216528,0.7581612396022653,0.652382275630683,0.8604795939883784,0.6666666666666666,2.5572915287768425,1.0
